State,x,y
Andhra Pradesh,-41,-75
Arunachal Pradesh,145,117
Assam,117,80
Bihar,30,69
Chhattisgarh,-15,8
Goa,-108,-83
Gujarat,-149,32
Haryana,-80,112
Himachal Pradesh,-74,148
Jharkhand,19,38
Karnataka,-99,-92
Kerala,-80,-145
Madhya Pradesh,-76,31
Maharashtra,-106,-17
Manipur,142,59
Meghalaya,100,67
Mizoram,132,40
Nagaland,148,80
Odisha,12,-5
Punjab,-98,133
Rajasthan,-147,73
Sikkim,68,93
Tamil Nadu,-60,-138
Telangana,-54,-35
Tripura,115,42
Uttar Pradesh,-44,80
Uttarakhand,-46,118
West Bengal,62,31
Andaman and Nicobar Islands,143,-103
Chandigarh,-96,141
Dadra and Nagar Haveli and Daman and Diu,-144,-2
Lakshadweep,-144,-156
Delhi (National Capital Territory of Delhi),-69,92
Puducherry,-32,-147
Jammu and Kashmir,-110,175
Ladakh,-79,193